Time,Dak_Mod_flow,Dak_Mod_rain,Dak_To_rain,Dak_Glei_rain,Sa_Thay_rain,Dak_To_flow
2003-06-01 01:00:00,66.5,24.0,0.0,0.0,0.0,6.82
2003-06-01 07:00:00,153.0,0.0,0.0,30.0,42.0,7.14
2003-06-01 13:00:00,115.2,0.0,0.0,0.0,0.0,6.98
2003-06-01 19:00:00,81.74,0.0,0.0,0.0,30.0,6.5
2003-06-02 01:00:00,92.7,12.0,0.0,0.0,0.0,7.14
2003-06-02 07:00:00,108.72,19.0,0.0,6.0,70.0,7.94
2003-06-02 13:00:00,156.6,10.0,0.0,0.0,0.0,19.9
2003-06-02 19:00:00,116.3,0.0,0.0,10.0,7.0,23.7
2003-06-03 01:00:00,95.58,12.0,0.0,0.0,0.0,16.35
2003-06-03 07:00:00,90.86,11.0,0.0,2.0,0.0,17.11
2003-06-03 13:00:00,90.86,1.0,0.0,0.0,0.0,16.73
2003-06-03 19:00:00,80.86,0.0,0.0,6.0,0.0,15.97
2003-06-04 01:00:00,70.6,0.0,0.0,0.0,0.0,16.54
2003-06-04 07:00:00,67.32,0.0,0.0,5.0,0.0,17.5
2003-06-04 13:00:00,64.19,0.0,0.0,0.0,0.0,17.11
2003-06-04 19:00:00,61.11,0.0,0.0,0.0,0.0,16.35
2003-06-05 01:00:00,56.0,0.0,0.0,0.0,0.0,15.97
2003-06-05 07:00:00,51.15,0.0,0.0,5.0,0.0,15.78
2003-06-05 13:00:00,49.85,0.0,0.0,0.0,0.0,15.21
2003-06-05 19:00:00,47.9,0.0,0.0,0.0,0.0,14.26
2003-06-06 01:00:00,44.12,0.0,0.0,0.0,0.0,13.5
2003-06-06 07:00:00,41.17,0.0,0.0,0.0,0.0,12.93
2003-06-06 13:00:00,38.34,0.0,0.0,0.0,0.0,11.6
2003-06-06 19:00:00,42.94,0.0,0.0,0.0,0.0,10.88
2003-06-07 01:00:00,39.4,0.0,0.0,0.0,0.0,10.16
2003-06-07 07:00:00,37.28,0.0,0.0,2.0,0.0,9.63
2003-06-07 13:00:00,36.75,0.0,0.0,0.0,0.0,9.29
2003-06-07 19:00:00,36.22,0.0,0.0,0.0,0.0,8.78
2003-06-08 01:00:00,34.1,0.0,0.0,0.0,0.0,8.44
2003-06-08 07:00:00,32.14,0.0,0.0,0.0,0.0,7.94
2003-06-08 13:00:00,31.65,0.0,0.0,0.0,0.0,7.62
2003-06-08 19:00:00,30.67,0.0,0.0,0.0,0.0,7.46
2003-06-09 01:00:00,30.18,0.0,0.0,0.0,0.0,7.14
2003-06-09 07:00:00,29.2,0.0,0.0,0.0,0.0,6.82
2003-06-09 13:00:00,28.75,0.0,0.0,0.0,0.0,6.5
2003-06-09 19:00:00,28.3,0.0,0.0,0.0,0.0,6.05
2003-06-10 01:00:00,27.85,0.0,0.0,0.0,0.0,5.75
2003-06-10 07:00:00,27.4,0.0,0.0,0.0,0.0,5.3
2003-06-10 13:00:00,27.4,0.0,0.0,0.0,0.0,5.15
2003-06-10 19:00:00,27.4,1.0,0.0,0.0,0.0,5.15
2003-06-11 01:00:00,27.85,0.0,0.0,0.0,0.0,5.0
2003-06-11 07:00:00,27.85,0.0,0.0,1.0,0.0,4.86
2003-06-11 13:00:00,29.2,8.0,0.0,0.0,0.0,5.45
2003-06-11 19:00:00,32.14,0.0,0.0,6.0,0.0,5.75
2003-06-12 01:00:00,35.16,0.0,0.0,0.0,0.0,5.6
2003-06-12 07:00:00,39.4,0.0,0.0,0.0,0.0,5.3
2003-06-12 13:00:00,34.63,19.0,0.0,0.0,0.0,5.9
2003-06-12 19:00:00,32.14,0.0,0.0,6.0,0.0,5.45
2003-06-13 01:00:00,31.16,0.0,0.0,0.0,0.0,5.15
2003-06-13 07:00:00,30.18,0.0,0.0,0.0,32.0,5.0
2003-06-13 13:00:00,29.2,0.0,0.0,0.0,0.0,5.0
2003-06-13 19:00:00,30.67,0.0,0.0,0.0,0.0,4.86
2003-06-14 01:00:00,29.2,0.0,0.0,0.0,0.0,4.72
2003-06-14 07:00:00,28.3,0.0,0.0,0.0,0.0,4.72
2003-06-14 13:00:00,27.85,1.0,0.0,0.0,0.0,4.72
2003-06-14 19:00:00,26.5,6.0,0.0,0.0,0.0,4.72
2003-06-15 01:00:00,25.6,0.0,0.0,0.0,0.0,4.72
2003-06-15 07:00:00,24.7,0.0,0.0,0.0,0.0,4.58
2003-06-15 13:00:00,24.7,0.0,0.0,0.0,0.0,4.58
2003-06-15 19:00:00,27.4,0.0,0.0,0.0,12.0,4.58
2003-06-16 01:00:00,28.3,0.0,0.0,0.0,0.0,4.44
2003-06-16 07:00:00,26.5,0.0,0.0,0.0,0.0,4.3
2003-06-16 13:00:00,27.85,0.0,0.0,0.0,0.0,4.3
2003-06-16 19:00:00,30.18,5.0,0.0,2.0,0.0,4.72
2003-06-17 01:00:00,31.16,0.0,0.0,0.0,0.0,4.44
2003-06-17 07:00:00,32.14,0.0,0.0,0.0,0.0,4.3
2003-06-17 13:00:00,33.12,0.0,0.0,0.0,0.0,5.45
2003-06-17 19:00:00,31.65,28.0,0.0,0.0,0.0,5.9
2003-06-18 01:00:00,32.63,0.0,0.0,0.0,0.0,5.6
2003-06-18 07:00:00,34.63,7.0,0.0,6.0,0.0,5.3
2003-06-18 13:00:00,39.99,0.0,0.0,0.0,0.0,5.9
2003-06-18 19:00:00,47.9,37.0,0.0,0.0,7.0,6.66
